win,lose,probability
Toronto Raptors,Miami Heat,0.68864432575723367
San Antonio Spurs,Utah Jazz,0.75758666303431899
Atlanta Hawks,Washington Wizards,0.54169701421227745
Atlanta Hawks,Houston Rockets,0.68847146880488519
Detroit Pistons,Denver Nuggets,0.73428678514860124
Indiana Pacers,Chicago Bulls,0.63551640068491944
Sacramento Kings,Milwaukee Bucks,0.50407298585960358
Oklahoma City Thunder,Minnesota Timberwolves,0.91008153617878695
Washington Wizards,Orlando Magic,0.55376779771591367
Cleveland Cavaliers,Philadelphia 76ers,0.96040722511697807
San Antonio Spurs,Los Angeles Clippers,0.80474264190097078
Boston Celtics,Denver Nuggets,0.80113233046670851
Dallas Mavericks,Milwaukee Bucks,0.71059531507745088
Phoenix Suns,Los Angeles Lakers,0.62140561658148274
Portland Trail Blazers,Memphis Grizzlies,0.56845737919392425
Utah Jazz,New York Knicks,0.66449353481213969
Toronto Raptors,Sacramento Kings,0.84477172192226568
Chicago Bulls,Orlando Magic,0.58794711036763203
Charlotte Hornets,Indiana Pacers,0.64065473294044384
Golden State Warriors,New Orleans Pelicans,0.95322742953764039
Los Angeles Clippers,Detroit Pistons,0.72189671592524629
Oklahoma City Thunder,Miami Heat,0.76608548853083858
Utah Jazz,Philadelphia 76ers,0.88733550038072118
Washington Wizards,Houston Rockets,0.55366648320711542
Minnesota Timberwolves,Brooklyn Nets,0.65327035155198532
Cleveland Cavaliers,Atlanta Hawks,0.78950272109097441
Dallas Mavericks,Los Angeles Lakers,0.83384509887989999
Memphis Grizzlies,Denver Nuggets,0.62051614845631275
Portland Trail Blazers,Phoenix Suns,0.90579331328252233
Sacramento Kings,New Orleans Pelicans,0.58500457668971084
Atlanta Hawks,Chicago Bulls,0.68360349970570555
Charlotte Hornets,Utah Jazz,0.67669977603421494
Golden State Warriors,Dallas Mavericks,0.9060809399801355
Indiana Pacers,Philadelphia 76ers,0.92076335181904689
Los Angeles Clippers,Portland Trail Blazers,0.7034275538664726
New York Knicks,Brooklyn Nets,0.66492744590604724
Oklahoma City Thunder,Toronto Raptors,0.69588925491479958
Orlando Magic,Minnesota Timberwolves,0.61359436845784887
Detroit Pistons,Phoenix Suns,0.75580214329239803
San Antonio Spurs,Houston Rockets,0.88379397667624793
Boston Celtics,Washington Wizards,0.5501887817955462
Golden State Warriors,Denver Nuggets,0.88507960470295921
Miami Heat,Chicago Bulls,0.66290341122379981
Milwaukee Bucks,New Orleans Pelicans,0.55421136851846053
Sacramento Kings,Los Angeles Lakers,0.73205966082355278
Boston Celtics,New York Knicks,0.78792676113939564
Charlotte Hornets,Toronto Raptors,0.50100787599006114
Oklahoma City Thunder,Los Angeles Clippers,0.72768243904274288
Utah Jazz,Orlando Magic,0.57194008605067637
Indiana Pacers,Philadelphia 76ers,0.90240596482526436
Portland Trail Blazers,Sacramento Kings,0.84018151117312034
San Antonio Spurs,Detroit Pistons,0.88116025762722228
Cleveland Cavaliers,Washington Wizards,0.71961316783459939
Atlanta Hawks,Philadelphia 76ers,0.93506259626060151
Chicago Bulls,Washington Wizards,0.50211467943441745
Detroit Pistons,Denver Nuggets,0.59221056755512502
San Antonio Spurs,Houston Rockets,0.74876033172943446
Indiana Pacers,Boston Celtics,0.5403192387148622
Miami Heat,Utah Jazz,0.66054484632348376
Memphis Grizzlies,Milwaukee Bucks,0.53117850966159741
Los Angeles Clippers,Minnesota Timberwolves,0.72995551467099462
New Orleans Pelicans,Los Angeles Lakers,0.67749774942959384
Phoenix Suns,Brooklyn Nets,0.55753697443037842
Toronto Raptors,New York Knicks,0.85492673001695574
Cleveland Cavaliers,Charlotte Hornets,0.7913877868423681
Golden State Warriors,Phoenix Suns,0.96721037335690196
Minnesota Timberwolves,Los Angeles Lakers,0.73207286029734986
Oklahoma City Thunder,Orlando Magic,0.87903303626944951
Portland Trail Blazers,Denver Nuggets,0.86057806333995668
Oklahoma City Thunder,Detroit Pistons,0.66090175557004527
Houston Rockets,Philadelphia 76ers,0.90007881050987937
Indiana Pacers,Orlando Magic,0.72438365091313628
Los Angeles Clippers,Brooklyn Nets,0.91010046845571946
Boston Celtics,New Orleans Pelicans,0.74298473037827217
Dallas Mavericks,New York Knicks,0.66216260103349844
San Antonio Spurs,Miami Heat,0.834746338064557
Utah Jazz,Memphis Grizzlies,0.65903472592968626
Cleveland Cavaliers,Toronto Raptors,0.71846301482289898
Brooklyn Nets,Los Angeles Lakers,0.56336985987191524
Miami Heat,Atlanta Hawks,0.578395080871976
Charlotte Hornets,Minnesota Timberwolves,0.67983933164077648
Portland Trail Blazers,Chicago Bulls,0.75874487181072203
Atlanta Hawks,Milwaukee Bucks,0.82233139037089098
Boston Celtics,Dallas Mavericks,0.67238644010615667
Denver Nuggets,Phoenix Suns,0.67856669419801063
Cleveland Cavaliers,Indiana Pacers,0.64094825920564857
Los Angeles Clippers,Memphis Grizzlies,0.79606329121449515
Detroit Pistons,New York Knicks,0.66276532580738401
Oklahoma City Thunder,Houston Rockets,0.83139567111549584
Orlando Magic,New Orleans Pelicans,0.61503522752506479
Washington Wizards,Philadelphia 76ers,0.87973718348156416
San Antonio Spurs,Sacramento Kings,0.85787047859611421
Golden State Warriors,Toronto Raptors,0.62027608045030624
Houston Rockets,Portland Trail Blazers,0.55188307482006349
Miami Heat,Milwaukee Bucks,0.80816045310900564
Minnesota Timberwolves,Philadelphia 76ers,0.81644798165101751
Utah Jazz,Chicago Bulls,0.56311422330493865
Washington Wizards,New York Knicks,0.68703004018842173
Golden State Warriors,Boston Celtics,0.72152195650472239
Charlotte Hornets,Atlanta Hawks,0.59606883120776499
Cleveland Cavaliers,Detroit Pistons,0.84279952706545747
Dallas Mavericks,Memphis Grizzlies,0.63218930010331975
Toronto Raptors,Denver Nuggets,0.75314713653762477
Indiana Pacers,Phoenix Suns,0.84203734759715321
San Antonio Spurs,Los Angeles Lakers,0.9528593852839734
Portland Trail Blazers,New Orleans Pelicans,0.68140199609948815
Oklahoma City Thunder,Brooklyn Nets,0.94936393715575684
Los Angeles Clippers,Sacramento Kings,0.72996877956571216
Boston Celtics,Detroit Pistons,0.51303086311731994
Houston Rockets,Utah Jazz,0.57218124037590956
Los Angeles Clippers,Chicago Bulls,0.72245741949866293
Memphis Grizzlies,Minnesota Timberwolves,0.63625157199115212
Golden State Warriors,Milwaukee Bucks,0.90035561871797209
Charlotte Hornets,New Orleans Pelicans,0.73417366598319567
Dallas Mavericks,Orlando Magic,0.5693828352431114
Phoenix Suns,Philadelphia 76ers,0.7182429616529471
Miami Heat,Washington Wizards,0.54827837454267636
Portland Trail Blazers,Brooklyn Nets,0.81277409897831532
Utah Jazz,Denver Nuggets,0.59407889663826241
Chicago Bulls,Los Angeles Lakers,0.83383136434629679
Atlanta Hawks,New York Knicks,0.73748133538262128
Oklahoma City Thunder,Indiana Pacers,0.80249696064789722
Toronto Raptors,Sacramento Kings,0.75943080177985645
Charlotte Hornets,Memphis Grizzlies,0.76030781473429687
Detroit Pistons,Houston Rockets,0.59020048756871912
Golden State Warriors,Indiana Pacers,0.7530907485597278
Los Angeles Clippers,Toronto Raptors,0.5526868548148941
Orlando Magic,Milwaukee Bucks,0.52989081227083945
Boston Celtics,Minnesota Timberwolves,0.68969015403247069
Miami Heat,Philadelphia 76ers,0.91981854433076726
San Antonio Spurs,Dallas Mavericks,0.88144223034766378
Washington Wizards,Phoenix Suns,0.78758081299631877
Atlanta Hawks,New Orleans Pelicans,0.82026502228081877
Chicago Bulls,Denver Nuggets,0.59153550282470968
Oklahoma City Thunder,Los Angeles Lakers,0.93229798490890214
Portland Trail Blazers,New York Knicks,0.68262422848302717
Boston Celtics,Brooklyn Nets,0.85438988041641872
San Antonio Spurs,Charlotte Hornets,0.65568451895599411
Cleveland Cavaliers,Portland Trail Blazers,0.83047410941222577
Los Angeles Clippers,Dallas Mavericks,0.61149924327589367
Miami Heat,Detroit Pistons,0.51110287514325037
Golden State Warriors,Los Angeles Lakers,0.97530867603847027
Toronto Raptors,Houston Rockets,0.60917809127495803
Indiana Pacers,Atlanta Hawks,0.5488152718473901
New Orleans Pelicans,Minnesota Timberwolves,0.51860872592126073
Orlando Magic,Phoenix Suns,0.69810177521527916
Memphis Grizzlies,Philadelphia 76ers,0.83863237364709675
Oklahoma City Thunder,Sacramento Kings,0.80438325933152988
Utah Jazz,Denver Nuggets,0.71668957713096282
San Antonio Spurs,Boston Celtics,0.662444480780219
Cleveland Cavaliers,Dallas Mavericks,0.8431563177325121
Oklahoma City Thunder,Denver Nuggets,0.79896292796915502
Los Angeles Clippers,Detroit Pistons,0.5616499509095072
Indiana Pacers,Brooklyn Nets,0.8714829243558847
Golden State Warriors,Los Angeles Lakers,0.96388101543467886
Miami Heat,Memphis Grizzlies,0.63856962640400661
Toronto Raptors,Milwaukee Bucks,0.78163371650412294
Charlotte Hornets,New York Knicks,0.73527210291856782
Washington Wizards,Orlando Magic,0.55376779771591367
Chicago Bulls,Philadelphia 76ers,0.88627783535043259
Minnesota Timberwolves,Phoenix Suns,0.59515687504424319
Portland Trail Blazers,New Orleans Pelicans,0.86916235760323768
Houston Rockets,Sacramento Kings,0.59430932228027444
Atlanta Hawks,Utah Jazz,0.52654017706599898
Charlotte Hornets,New York Knicks,0.79291041879010138
Golden State Warriors,Minnesota Timberwolves,0.95295554592692244
Miami Heat,Memphis Grizzlies,0.74676727696917089
Oklahoma City Thunder,Detroit Pistons,0.82780576515864013
San Antonio Spurs,Washington Wizards,0.76859760691124523
Sacramento Kings,Brooklyn Nets,0.70294428091100347
Dallas Mavericks,New Orleans Pelicans,0.70769134437029957
Los Angeles Clippers,Indiana Pacers,0.50852363618749585
Atlanta Hawks,Los Angeles Lakers,0.87794362145124016
Orlando Magic,Milwaukee Bucks,0.61836330105122783
Cleveland Cavaliers,Philadelphia 76ers,0.96040722511697807
Denver Nuggets,Phoenix Suns,0.61128511048756184
Portland Trail Blazers,Houston Rockets,0.76285779249992169
Golden State Warriors,Atlanta Hawks,0.8706505607854399
Charlotte Hornets,Memphis Grizzlies,0.6297723096161647
Miami Heat,Boston Celtics,0.5700196554542829
Utah Jazz,Minnesota Timberwolves,0.60225726752561992
Oklahoma City Thunder,New York Knicks,0.84321622866029222
Toronto Raptors,Philadelphia 76ers,0.95594277926302473
Washington Wizards,Sacramento Kings,0.66966352016251485
Los Angeles Clippers,Brooklyn Nets,0.87709253367546003
Charlotte Hornets,Detroit Pistons,0.67839122738212598
Cleveland Cavaliers,Milwaukee Bucks,0.84097486728037929
New Orleans Pelicans,Los Angeles Lakers,0.67749774942959384
San Antonio Spurs,Orlando Magic,0.91808540190227572
Utah Jazz,Houston Rockets,0.56866630175374377
Boston Celtics,Detroit Pistons,0.67179239540717595
Chicago Bulls,Los Angeles Lakers,0.79488684875225601
San Antonio Spurs,Dallas Mavericks,0.77848661553887322
Miami Heat,Denver Nuggets,0.68068654875685453
Minnesota Timberwolves,New York Knicks,0.54711806138894958
Oklahoma City Thunder,Washington Wizards,0.83702791412265853
Atlanta Hawks,Phoenix Suns,0.81563921909258208
Portland Trail Blazers,Indiana Pacers,0.72608209387795031
Toronto Raptors,Memphis Grizzlies,0.82999416139184989
Milwaukee Bucks,Brooklyn Nets,0.64868980040482982
Charlotte Hornets,Dallas Mavericks,0.67897903578558916
Cleveland Cavaliers,Los Angeles Clippers,0.74874830023146544
Golden State Warriors,Houston Rockets,0.90799496051190498
Memphis Grizzlies,Orlando Magic,0.55670639033248726
Miami Heat,Utah Jazz,0.53315161193396632
Atlanta Hawks,Detroit Pistons,0.68299874366959235
Boston Celtics,Sacramento Kings,0.77431984325235215
Cleveland Cavaliers,Chicago Bulls,0.76679618957987994
Houston Rockets,Denver Nuggets,0.58606352017343366
Los Angeles Clippers,New Orleans Pelicans,0.77855506099479266
New York Knicks,Minnesota Timberwolves,0.51720159442497382
Orlando Magic,Philadelphia 76ers,0.83793149175676385
San Antonio Spurs,Washington Wizards,0.8879118331500816
Toronto Raptors,Los Angeles Lakers,0.93020928817590265
Charlotte Hornets,Minnesota Timberwolves,0.8162078888185611
Dallas Mavericks,Chicago Bulls,0.53405608542709126
Golden State Warriors,Phoenix Suns,0.96721037335690196
Memphis Grizzlies,Los Angeles Lakers,0.7732857724499993
Milwaukee Bucks,Brooklyn Nets,0.69595667567850317
Boston Celtics,Philadelphia 76ers,0.92038581090818239
Portland Trail Blazers,Miami Heat,0.68117971516300924
Toronto Raptors,Atlanta Hawks,0.69430632454586783
Utah Jazz,Denver Nuggets,0.71668957713096282
Detroit Pistons,Orlando Magic,0.67973367305631416
Los Angeles Clippers,Indiana Pacers,0.68690904903142069
Sacramento Kings,New York Knicks,0.53968601055018284
Oklahoma City Thunder,New Orleans Pelicans,0.91057795023838972
Oklahoma City Thunder,Atlanta Hawks,0.55949840696497222
Washington Wizards,Brooklyn Nets,0.78781388756822135
Portland Trail Blazers,Chicago Bulls,0.5369028799436083
Charlotte Hornets,Dallas Mavericks,0.55286548476349573
Golden State Warriors,Indiana Pacers,0.89049609149092446
Boston Celtics,Houston Rockets,0.52324215827705389
Utah Jazz,Los Angeles Lakers,0.83528615166271947
San Antonio Spurs,Milwaukee Bucks,0.87251324065303515
Memphis Grizzlies,New Orleans Pelicans,0.56513442630142385
Denver Nuggets,Philadelphia 76ers,0.79882765954317225
Toronto Raptors,Cleveland Cavaliers,0.5112387141437631
Detroit Pistons,Chicago Bulls,0.58472317591007361
Memphis Grizzlies,Philadelphia 76ers,0.84738781388573903
Miami Heat,New York Knicks,0.78068036782747474
San Antonio Spurs,Minnesota Timberwolves,0.85786227328038367
Utah Jazz,Phoenix Suns,0.7975933533556524
Washington Wizards,Orlando Magic,0.64639948465864183
Atlanta Hawks,Miami Heat,0.59478203560579956
Denver Nuggets,Brooklyn Nets,0.66837346368605299
Charlotte Hornets,Detroit Pistons,0.67839122738212598
Dallas Mavericks,Sacramento Kings,0.65705648404190653
Houston Rockets,Los Angeles Lakers,0.84694007477618516
Golden State Warriors,Los Angeles Clippers,0.67138085310677842
Portland Trail Blazers,Milwaukee Bucks,0.65091683534324818
Cleveland Cavaliers,New York Knicks,0.85915457976428133
Boston Celtics,Orlando Magic,0.6623004923637793
Indiana Pacers,Phoenix Suns,0.78549519125676348
San Antonio Spurs,Chicago Bulls,0.8097172591751125
Portland Trail Blazers,Memphis Grizzlies,0.56845737919392425
New Orleans Pelicans,Philadelphia 76ers,0.77374789960190893
Toronto Raptors,Minnesota Timberwolves,0.87237040753090744
Golden State Warriors,Utah Jazz,0.80491644176278121
Washington Wizards,Denver Nuggets,0.70415937999624423
Toronto Raptors,Boston Celtics,0.50651308664755379
Charlotte Hornets,Orlando Magic,0.76124873980883623
Cleveland Cavaliers,Miami Heat,0.78505808079374062
Indiana Pacers,Dallas Mavericks,0.50863423156373877
Phoenix Suns,Los Angeles Lakers,0.62140561658148274
Atlanta Hawks,Milwaukee Bucks,0.7089174604395273
Detroit Pistons,Minnesota Timberwolves,0.60040126125153237
Oklahoma City Thunder,Houston Rockets,0.83139567111549584
Sacramento Kings,New York Knicks,0.5471013871411633
Miami Heat,Chicago Bulls,0.60861202487876986
Cleveland Cavaliers,Charlotte Hornets,0.7913877868423681
Houston Rockets,Dallas Mavericks,0.57473428484922406
Indiana Pacers,Portland Trail Blazers,0.61371271871265898
Los Angeles Clippers,New Orleans Pelicans,0.84611455401813496
Golden State Warriors,Memphis Grizzlies,0.86455748838592694
Orlando Magic,Denver Nuggets,0.59749885815057413
San Antonio Spurs,Brooklyn Nets,0.96657440619634505
Utah Jazz,Sacramento Kings,0.68299702615391478
Washington Wizards,Milwaukee Bucks,0.72206672096117974
Detroit Pistons,Philadelphia 76ers,0.90369755037204591
New York Knicks,Los Angeles Lakers,0.73490484485868224
Golden State Warriors,Minnesota Timberwolves,0.88849542827143368
Oklahoma City Thunder,Boston Celtics,0.7646998730002178
New Orleans Pelicans,Phoenix Suns,0.59369076620583339
Dallas Mavericks,Denver Nuggets,0.6922638657230672
Houston Rockets,Brooklyn Nets,0.84016696665410284
Indiana Pacers,Charlotte Hornets,0.55163167133817981
Los Angeles Clippers,Portland Trail Blazers,0.7034275538664726
Miami Heat,Washington Wizards,0.67690580778651721
Sacramento Kings,Los Angeles Lakers,0.73205966082355278
Toronto Raptors,Milwaukee Bucks,0.87459829905170394
Atlanta Hawks,Orlando Magic,0.76508026566156673
Chicago Bulls,Minnesota Timberwolves,0.66525718182292592
Cleveland Cavaliers,Memphis Grizzlies,0.88965154443383987
Golden State Warriors,New Orleans Pelicans,0.91200237446096721
New York Knicks,Phoenix Suns,0.63032944374158473
Portland Trail Blazers,Oklahoma City Thunder,0.53402286058103399
Brooklyn Nets,Los Angeles Lakers,0.50859443423946082
Dallas Mavericks,Detroit Pistons,0.53336060771479754
Houston Rockets,Sacramento Kings,0.69318700880437611
Cleveland Cavaliers,Memphis Grizzlies,0.78884674765905449
Miami Heat,Indiana Pacers,0.62370024785592582
Los Angeles Clippers,Orlando Magic,0.70459765803518659
Toronto Raptors,Philadelphia 76ers,0.94259057923852263
San Antonio Spurs,Boston Celtics,0.8336791410867872
Oklahoma City Thunder,Utah Jazz,0.68041895261089114
Charlotte Hornets,Washington Wizards,0.53887037657294889
Portland Trail Blazers,Denver Nuggets,0.61380324379967433
Golden State Warriors,New York Knicks,0.94584202180055488
Chicago Bulls,Milwaukee Bucks,0.62949732601148023
Indiana Pacers,New Orleans Pelicans,0.69808334516719472
San Antonio Spurs,Phoenix Suns,0.92555345958781388
Boston Celtics,Charlotte Hornets,0.59155726801198361
Chicago Bulls,Milwaukee Bucks,0.66973169872173588
Houston Rockets,New Orleans Pelicans,0.74059337930948588
Memphis Grizzlies,Sacramento Kings,0.5820560296553976
Miami Heat,Los Angeles Clippers,0.52153806392977753
Orlando Magic,Brooklyn Nets,0.74629403550064499
Los Angeles Lakers,Philadelphia 76ers,0.65560393419136642
Toronto Raptors,Atlanta Hawks,0.69430632454586783
Utah Jazz,Dallas Mavericks,0.56308983575751126
Washington Wizards,Detroit Pistons,0.54738248143255663
Atlanta Hawks,Charlotte Hornets,0.60388783434212556
Cleveland Cavaliers,Los Angeles Lakers,0.95654115891283642
Denver Nuggets,New York Knicks,0.55553471247764863
Detroit Pistons,Indiana Pacers,0.54270004643878467
Golden State Warriors,Portland Trail Blazers,0.89787044820413353
Houston Rockets,Minnesota Timberwolves,0.59429309711429312
Oklahoma City Thunder,Phoenix Suns,0.9364613247218817
Dallas Mavericks,Sacramento Kings,0.65705648404190653
Utah Jazz,Memphis Grizzlies,0.54812206572704236
Miami Heat,Boston Celtics,0.5700196554542829
Toronto Raptors,Orlando Magic,0.73582603774279209
Brooklyn Nets,Philadelphia 76ers,0.66709915602829772
San Antonio Spurs,New Orleans Pelicans,0.94014000652273055
Los Angeles Clippers,Washington Wizards,0.59800494214264477
Detroit Pistons,Chicago Bulls,0.51441207826684021
Dallas Mavericks,Denver Nuggets,0.59155945429597767
Indiana Pacers,Washington Wizards,0.65005586641566737
Minnesota Timberwolves,Phoenix Suns,0.67110050715958558
Oklahoma City Thunder,Atlanta Hawks,0.7708079149148569
Charlotte Hornets,Los Angeles Lakers,0.89647809409023027
Golden State Warriors,Utah Jazz,0.90518895533675425
San Antonio Spurs,Houston Rockets,0.74876033172943446
Los Angeles Clippers,Denver Nuggets,0.83630288794318175
Boston Celtics,Memphis Grizzlies,0.6403486614261712
Miami Heat,Orlando Magic,0.7477437206072769
Cleveland Cavaliers,Milwaukee Bucks,0.84097486728037929
Indiana Pacers,New York Knicks,0.6992698264649515
New Orleans Pelicans,Philadelphia 76ers,0.78676084544226343
Portland Trail Blazers,Sacramento Kings,0.62185300547235667
Toronto Raptors,Brooklyn Nets,0.92680249528869241
Atlanta Hawks,Minnesota Timberwolves,0.81936670436065873
Chicago Bulls,Washington Wizards,0.50211467943441745
Cleveland Cavaliers,Milwaukee Bucks,0.92011005904714083
Detroit Pistons,Memphis Grizzlies,0.67860712529323408
Oklahoma City Thunder,New Orleans Pelicans,0.84246972485627325
Houston Rockets,Phoenix Suns,0.7510845922799616
Portland Trail Blazers,Dallas Mavericks,0.75872672566188704
Utah Jazz,Sacramento Kings,0.68299702615391478
Golden State Warriors,Brooklyn Nets,0.95462025466988909
Indiana Pacers,Boston Celtics,0.5403192387148622
San Antonio Spurs,Los Angeles Clippers,0.60745341145125964
Miami Heat,Los Angeles Lakers,0.88951213538958862
Orlando Magic,New York Knicks,0.56524886788215034
Oklahoma City Thunder,Boston Celtics,0.57209672346062912
Charlotte Hornets,Chicago Bulls,0.67900064221791323
Cleveland Cavaliers,Brooklyn Nets,0.95435667040798888
Atlanta Hawks,Denver Nuggets,0.67489040944195589
Golden State Warriors,Detroit Pistons,0.79066326228822303
Los Angeles Clippers,Dallas Mavericks,0.72243754242434732
Houston Rockets,Memphis Grizzlies,0.53990203008689219
Washington Wizards,Milwaukee Bucks,0.61461009244481202
Minnesota Timberwolves,Sacramento Kings,0.52732922105023228
Miami Heat,New Orleans Pelicans,0.74150844748147171
Orlando Magic,Los Angeles Lakers,0.75588931584770458
Phoenix Suns,Philadelphia 76ers,0.68347796636880354
San Antonio Spurs,Portland Trail Blazers,0.56155954086350912
Toronto Raptors,Utah Jazz,0.62042222340788589
Cleveland Cavaliers,Golden State Warriors,0.50272013122287973
Los Angeles Clippers,Los Angeles Lakers,0.90052595410529734
Boston Celtics,New York Knicks,0.74405945104585725
Oklahoma City Thunder,Minnesota Timberwolves,0.91008153617878695
San Antonio Spurs,Chicago Bulls,0.88145258912409874
Charlotte Hornets,Brooklyn Nets,0.8486198857816647
Indiana Pacers,Chicago Bulls,0.55622263340675704
Cleveland Cavaliers,Detroit Pistons,0.68852775286012624
Houston Rockets,Phoenix Suns,0.80515056464903934
Los Angeles Clippers,Denver Nuggets,0.83630288794318175
Atlanta Hawks,Minnesota Timberwolves,0.68231129033128068
Dallas Mavericks,New Orleans Pelicans,0.6609007137584193
Orlando Magic,Memphis Grizzlies,0.53144604747958613
Portland Trail Blazers,Toronto Raptors,0.5988460165622328
Sacramento Kings,Philadelphia 76ers,0.81643789665447264
Washington Wizards,Milwaukee Bucks,0.72206672096117974
Boston Celtics,Memphis Grizzlies,0.75478221233265785
Dallas Mavericks,Houston Rockets,0.53967557149225731
Utah Jazz,Los Angeles Lakers,0.83528615166271947
Oklahoma City Thunder,Miami Heat,0.58254963043998576
Atlanta Hawks,New York Knicks,0.79636974958010376
Chicago Bulls,Brooklyn Nets,0.78639126748370702
Denver Nuggets,Minnesota Timberwolves,0.59178856301853366
Detroit Pistons,Milwaukee Bucks,0.7510153205602611
Golden State Warriors,Toronto Raptors,0.82078029028891375
Los Angeles Clippers,New Orleans Pelicans,0.77855506099479266
Charlotte Hornets,Orlando Magic,0.65201887955396509
Portland Trail Blazers,Sacramento Kings,0.84018151117312034
San Antonio Spurs,Phoenix Suns,0.95786255988032287
Washington Wizards,Indiana Pacers,0.50547953473596552
Charlotte Hornets,Miami Heat,0.58966264836481341
Cleveland Cavaliers,Boston Celtics,0.78375312749836668
Dallas Mavericks,Los Angeles Lakers,0.83384509887989999
Oklahoma City Thunder,Memphis Grizzlies,0.76710890199567616
Toronto Raptors,Phoenix Suns,0.86670774057517619
Utah Jazz,Philadelphia 76ers,0.89572655950420987
Atlanta Hawks,Detroit Pistons,0.68299874366959235
Boston Celtics,Miami Heat,0.5823640459597389
Denver Nuggets,Philadelphia 76ers,0.82149233852265457
Golden State Warriors,Dallas Mavericks,0.9060809399801355
